reference_id,sequence_number,image_id,date,time,latitude,longitude
pt00002,0,1027016499237547,2025-02-05,09:45:03,52.434045,13.264286
pt00002,1,1133313717757155,2024-07-31,06:02:59,52.433991,13.264289
pt00002,2,1158019471326208,2017-06-29,07:18:10,52.434041,13.264252
pt00002,3,1349477383069055,2025-02-05,09:45:02,52.433972,13.264334
pt00002,4,1673826992802518,2020-10-25,12:20:17,52.434005,13.264296
pt00002,5,1748867905714555,2025-04-23,08:33:59,52.434078,13.264335
pt00002,6,2881560175441317,2020-10-25,12:20:15,52.433936,13.264325
pt00002,7,291466605857783,2014-07-16,11:43:45,52.433952,13.264288
pt00002,8,371423334249442,2017-06-29,07:18:09,52.433942,13.264323
pt00002,9,561054117022427,2025-04-23,08:33:57,52.433965,13.264406
pt00004,0,1034728404166003,2023-06-05,07:44:34,52.439000,13.262796
pt00004,1,1045471632526501,2018-01-26,13:01:20,52.439056,13.262856
pt00004,2,221918672735922,2021-04-28,12:04:01,52.438946,13.262890
pt00004,3,1073787251508248,2025-07-28,15:48:38,52.439029,13.262936
pt00004,4,1292417385001744,2023-06-12,15:51:50,52.439033,13.262920
pt00005,0,1105685671583394,2026-01-19,07:40:34,52.420899,13.309932
pt00005,1,214704158281075,2023-09-19,09:34:35,52.420877,13.309858
pt00005,2,1251795425218560,2019-03-10,10:21:51,52.420875,13.309883
pt00007,0,1129643057623863,2022-08-28,11:35:31,52.447966,13.268776
pt00007,1,1177323176039391,2016-09-15,17:03:49,52.447950,13.268769
pt00007,2,1279938855839913,2022-02-10,14:49:20,52.447954,13.268840
pt00007,3,178078438446102,2023-07-12,14:20:44,52.447993,13.268871
pt00007,4,202599085024569,2020-05-17,16:56:35,52.447922,13.268759
pt00008,0,1134741953604978,2019-07-07,14:44:22,52.436624,13.257957
pt00008,1,1439410050814917,2025-06-25,13:14:22,52.436563,13.257900
pt00008,2,1620117751987338,2025-06-25,13:14:24,52.436652,13.257879
pt00008,3,323449192551136,2019-07-20,14:00:12,52.436538,13.257963
pt00008,4,373884777335763,2019-07-07,14:44:21,52.436594,13.257967
pt00008,5,441341947262698,2019-07-07,14:44:23,52.436652,13.257963
pt00008,6,489838152443923,2019-07-20,14:00:13,52.436601,13.257943
pt00008,7,511347346888221,2019-07-07,14:44:20,52.436560,13.257966
pt00008,8,822208388396020,2019-07-20,14:00:14,52.436661,13.257923
pt00008,9,840105379958726,2018-04-22,12:37:54,52.436588,13.257916
pt00009,0,1018830755751177,2023-06-12,15:52:15,52.439158,13.262947
pt00009,10,1306248789976236,2023-06-12,15:52:12,52.439090,13.262939
pt00009,1,1045471632526501,2018-01-26,13:01:20,52.439056,13.262856
pt00009,2,1073787251508248,2025-07-28,15:48:38,52.439029,13.262936
pt00009,3,224552822413945,2019-07-30,17:19:14,52.439076,13.263074
pt00009,4,145190364181825,2017-06-17,15:32:05,52.438997,13.262981
pt00009,5,1102042708733581,2025-07-28,15:48:39,52.439090,13.262978
pt00009,6,1195006370949438,2017-06-17,15:32:05,52.439028,13.263008
pt00009,7,1221884832640915,2025-05-12,08:59:01,52.439144,13.263005
pt00009,8,1292417385001744,2023-06-12,15:51:50,52.439033,13.262920
pt00009,9,1296193961860350,2025-07-28,15:48:38,52.439060,13.262956
pt00010,0,1065502361065322,2016-07-01,21:46:15,52.423997,13.314258
pt00010,1,1069229084008838,2016-07-01,21:46:14,52.423997,13.314258
pt00010,2,145692477472878,2020-10-04,14:21:56,52.423974,13.314470
pt00010,3,1088271471770579,2022-07-10,11:32:34,52.423994,13.314509
pt00010,4,1131174811708708,2024-12-10,08:33:23,52.423947,13.314428
pt00011,0,1016247940430227,2025-04-06,11:33:51,52.433962,13.306666
pt00011,1,1082506842646954,2022-07-10,11:21:26,52.433947,13.306586
pt00011,2,1142879209546112,2017-02-20,10:25:34,52.434034,13.306594
pt00011,3,1153828628782529,2022-04-13,15:07:54,52.434019,13.306435
pt00011,4,1200249093878725,2022-07-10,11:21:24,52.434012,13.306509
pt00011,5,1274505283006336,2017-07-25,12:25:28,52.433990,13.306603
pt00011,6,9645830025453228,2025-05-12,09:07:10,52.434067,13.306607
pt00011,7,1384144069395091,2025-05-12,09:07:11,52.434034,13.306637
pt00011,8,154018109990522,2017-02-20,10:25:35,52.433968,13.306642
pt00011,9,742076871574925,2025-05-24,19:25:21,52.434017,13.306647
pt00012,0,1067981775452296,2025-08-06,07:33:43,52.390967,13.092885
pt00012,10,466226612901024,2024-08-10,07:05:18,52.390975,13.092920
pt00012,11,658545083537587,2025-03-26,08:25:02,52.390957,13.092830
pt00012,1,531239682710661,2024-09-11,07:35:50,52.391000,13.092979
pt00012,2,1346203946697203,2025-03-26,08:25:03,52.390977,13.092923
pt00012,3,1348595583739880,2026-02-25,08:08:09,52.391049,13.092945
pt00012,4,1627543091598154,2026-02-25,08:08:08,52.391037,13.092877
pt00012,5,1656983275754668,2026-02-25,08:08:07,52.391030,13.092773
pt00012,6,743917408398085,2025-08-06,07:33:44,52.390990,13.092996
pt00012,7,1998155954462551,2026-02-25,08:08:10,52.391061,13.093013
pt00012,8,970251014569388,2025-02-05,09:00:52,52.390954,13.092935
pt00012,9,3889540401294663,2025-03-26,08:25:04,52.390995,13.093012
pt00013,0,2537389066564356,2015-08-30,09:26:03,52.446428,13.171483
pt00013,1,458074238609710,2018-04-21,19:42:24,52.446437,13.171556
pt00013,2,476051503639617,2015-08-30,09:26:01,52.446417,13.171567
pt00013,3,498759701480311,2015-08-30,09:26:05,52.446425,13.171406
pt00013,4,567366637571504,2018-04-21,19:48:20,52.446468,13.171582
pt00013,5,751555928855014,2015-08-30,09:30:18,52.446414,13.171447
pt00013,6,138365408206217,2015-08-30,09:30:20,52.446386,13.171622
pt00013,7,170780578261404,2015-08-30,09:25:59,52.446392,13.171642
pt00014,0,1109556262901036,2020-10-19,15:16:07,52.385068,13.059597
pt00014,1,1120076015153935,2019-10-05,13:10:02,52.385131,13.059574
pt00014,2,1178391332621041,2020-10-12,12:25:37,52.385090,13.059761
pt00014,3,1219822165139051,2020-10-20,15:42:03,52.385119,13.059661
pt00014,4,2578236669145938,2018-05-05,11:06:06,52.385126,13.059746
pt00014,5,155141936567969,2020-10-19,15:16:07,52.385112,13.059761
pt00014,6,159895989419297,2020-10-05,16:00:44,52.385059,13.059660
pt00014,7,200766915215605,2020-10-05,16:51:23,52.385103,13.059688
pt00015,0,299864014951150,2019-07-30,17:06:00,52.416518,13.265875
pt00015,1,1122899706331245,2025-06-25,11:10:26,52.416642,13.265826
pt00015,2,1159003447943825,2019-07-30,17:06:02,52.416645,13.265837
pt00016,0,1073993943374877,2021-10-10,10:43:53,52.422850,13.312947
pt00016,1,108698951300996,2020-06-21,11:40:04,52.422824,13.312947
pt00016,2,1208279097796140,2025-10-15,09:31:58,52.422828,13.312953
pt00016,3,1382063082169793,2017-04-08,12:08:04,52.422896,13.312999
pt00016,4,145299354759361,2016-07-01,21:46:31,52.422820,13.312978
pt00017,0,1007923510390218,2023-07-12,14:36:05,52.398111,13.227669
pt00017,1,1134814780357213,2017-07-24,13:19:24,52.398138,13.227642
pt00017,2,1671925649900548,2023-07-12,14:36:07,52.398014,13.227699
pt00017,3,177793167574279,2020-04-18,15:19:29,52.398073,13.227645
pt00017,4,286947139696962,2016-05-14,08:51:14,52.398069,13.227633
pt00017,5,293673466358662,2023-07-12,14:36:06,52.398066,13.227688
pt00017,6,3022328324720684,2019-06-16,20:14:06,52.398121,13.227682
pt00017,7,369827821099436,2017-07-24,13:19:24,52.398067,13.227642
